id,listing_id,unit_id,updated_at
543038350,21360217,UN0730,2019-10-06 4:09:31
543038351,11132383,UN0731,2019-10-06 4:09:31
543038353,185843101,UN0731,2019-10-06 4:09:31
543038354,BV-PK,UN0731,2019-10-06 4:09:31
543038355,11127407,UN0732,2019-10-06 4:09:31
543038359,11770117,UN0734,2019-10-06 4:09:31
543038362,19317295,UN0736,2019-10-06 4:09:31
543038369,1858431,UN0742,2019-10-06 4:09:31
543038371,185843102,UN0743,2019-10-06 4:09:31
543038373,185843103,UN0744,2019-10-06 4:09:31
543038375,185843104,UN0745,2019-10-06 4:09:31
543038377,185843105,UN0746,2019-10-06 4:09:31
543038379,185843106,UN0747,2019-10-06 4:09:31
543038380,19674276,UN0747,2019-10-06 4:09:31
543038382,185843107,UN0748,2019-10-06 4:09:31
543038383,19664934,UN0748,2019-10-06 4:09:31
543038384,185843108,UN0749,2019-10-06 4:09:31
543038386,185843109,UN0750,2019-10-06 4:09:31
543038387,185843110,UN0751,2019-10-06 4:09:31
543038389,22739045,UN0754,2019-10-06 4:09:31
543038390,22739153,UN0755,2019-10-06 4:09:31
543038399,17124708,UN0766,2019-10-06 4:09:31
543038400,17564965,UN0767,2019-10-06 4:09:31
543038401,20612429,UN0770,2019-10-06 4:09:31
543038402,20986419,UN0770,2019-10-06 4:09:31
543038404,20987275,UN0771,2019-10-06 4:09:31
543038407,20126990,UN0780,2019-10-06 4:09:31
543038408,20139316,UN0781,2019-10-06 4:09:31
543038413,20682622,UN0785,2019-10-06 4:09:31
543038416,25589990,UN0786,2019-10-06 4:09:31
543038417,L0000662,UN0786,2019-10-06 4:09:31
543038418,21372470,UN0787,2019-10-06 4:09:31
543038420,18709509,UN0789,2019-10-06 4:09:31
543038421,8656171,UN0789,2019-10-06 4:09:31
543038427,16814671,UN0793,2019-10-06 4:09:31
543038431,25788521,UN0797,2019-10-06 4:09:31
543038432,14007066,UN0798,2019-10-06 4:09:31
543038433,18114232,UN0798,2019-10-06 4:09:31
543038434,13965680,UN0799,2019-10-06 4:09:31
543038435,21775805,UN0799,2019-10-06 4:09:31
543038436,21313215,UN0800,2019-10-06 4:09:31
543038437,23228227,UN0801,2019-10-06 4:09:31
543038438,23018615,UN0802,2019-10-06 4:09:31
543038439,23026419,UN0802,2019-10-06 4:09:31
543038440,25300483,UN0802,2019-10-06 4:09:31
543038441,23026268,UN0803,2019-10-06 4:09:31
543038442,23062716,UN0803,2019-10-06 4:09:31
543038443,21374843,UN0812,2019-10-06 4:09:31
543038444,22898983,UN0812,2019-10-06 4:09:31
543038445,22896871,UN0813,2019-10-06 4:09:31
543038448,22235101,UN0817,2019-10-06 4:09:31
543038449,22251906,UN0818,2019-10-06 4:09:31
543038451,22700017,UN0820,2019-10-06 4:09:31
543038452,24194109,UN0820,2019-10-06 4:09:31
543038453,22754163,UN0821,2019-10-06 4:09:31
543038454,22707995,UN0822,2019-10-06 4:09:31
543038455,22759138,UN0826,2019-10-06 4:09:31
543038456,22773977,UN0826,2019-10-06 4:09:31
543038457,22004227,UN0827,2019-10-06 4:09:31
543038458,23360603,UN0827,2019-10-06 4:09:31
543038459,469337801,UN0827,2019-10-06 4:09:31
543038460,21820394,UN0828,2019-10-06 4:09:31
543038461,21901562,UN0828,2019-10-06 4:09:31
543038462,21949851,UN0829,2019-10-06 4:09:31
543038463,17611212,UN0830,2019-10-06 4:09:31
543038464,17629121,UN0832,2019-10-06 4:09:31
543038465,17289536,UN0844,2019-10-06 4:09:31
543038473,17674635,UN0890,2019-10-06 4:09:31
